sampleID,antigen,FMedian,replicate
J0119,RHOPH3,6534,3
J0119,MSRP3,2380,3
J0119,PF13_0125,1348,3
J0119,RH5,4378,3
J0119,SERA4,15802,3
J0119,AARP,1223,3
J0119,RH1,12312,1
J0119,MSP3.5,24084,1
J0119,PFA0210c,7976,1
J0119,P38,3119,1
J0119,CLAG3.2,4664,1
J0119,RH2b,3225,1
J0119,PFA0445W,11560,1
J0119,PF3D7_1343700(KELCH),1377,1
J0119,RH1,14056,2
J0119,MSP3.5,22785,2
J0119,PFA0210c,8547,2
J0119,P38,4958,2
J0119,CLAG3.2,5988,2
J0119,RH2b,3143,2
J0119,PFA0445W,9867,2
J0119,PF3D7_1343700(KELCH),1353,2
J0119,RH1,14908,3
J0119,MSP3.5,24690,3
J0119,PFA0210c,8992,3
J0119,P38,5257,3
J0119,CLAG3.2,5006,3
J0119,RH2b,3630,3
J0119,PFA0445W,10360,3
J0119,PF3D7_1343700(KELCH),1444,3
J0119,PF3D7_1401600(PHISTB),13401,1
J0119,PF3D7-1137300,4993,1
J0119,PF3D7_0830500,2285,1
J0119,PF3D7_1462300,2248,1
J0119,PF3D7_1229300,8088,1
J0119,PF3D7_1237900,1105,1
J0119,PF3D7_1252300,1167,1
J0119,PF3D7_0629500_SEG1,3472,1
J0119,PF3D7_1401600(PHISTB),11736,2
J0119,PF3D7-1137300,4707,2
J0119,PF3D7_0830500,1986,2
J0119,PF3D7_1462300,2095,2
J0119,PF3D7_1229300,7625,2
J0119,PF3D7_1237900,1159,2
J0119,PF3D7_1252300,1200,2
J0119,PF3D7_0629500_SEG1,3756,2
J0119,PF3D7_1401600(PHISTB),12932,3
J0119,PF3D7-1137300,4878,3
J0119,PF3D7_0830500,2354,3
J0119,PF3D7_1462300,2236,3
J0119,PF3D7_1229300,8090,3
J0119,PF3D7_1237900,1560,3
J0119,PF3D7_1252300,1316,3
J0119,PF3D7_0629500_SEG1,4080,3
J0119,MSP1Block2PaloAltorepeat,7917,1
J0119,MSP1Block23D7full,5797,1
J0119,MSP1Block2MAD20repeat,6583,1
J0119,MSP2CHO,65535,1
J0119,MBP,29977,1
J0119,MSP2DD2,65535,1
J0119,MSP33D7,35691,1
