AARP,AMA1,ASP,Buffer,CD4TAG,CLAG3.2,CommercialHumanIgG,EBA140,EBA175,EBA181,ETRAMP10.2,GAMA,GST,H101,Landmark,MBP,MSP1,MSP10,MSP11,MSP1Block17,MSP1Block23D7full,MSP1Block23D7repeat,MSP1Block2K1flank,MSP1Block2MAD20full,MSP1Block2MAD20repeat,MSP1Block2PaloAltorepeat,MSP1Block2R033,MSP1Block2Wellcomefull,MSP1Block2Wellcomerepeat,MSP2,MSP2CH15019DBL2,MSP2CHO,MSP2DD2,MSP3,MSP3.5,MSP3.6,MSP33D7,MSP3K1,MSP4,MSP5,MSP6,MSP7,MSP8,MSP9,MSPDBL2C.terminal,MSPDBL2N.terminal,MSPDBLC.terminal,MSPDBLN.terminal,MSRP1,MSRP2,MSRP3,MSRP4,MSRP5,MTRAP,P12,P34,P38,P41,PF10_0166,PF113,PF13_0125,PF1400044,PF3D7.1137300,PF3D7.1431400,PF3D7_0206200,PF3D7_0525800.IMC1g.,PF3D7_0606800,PF3D7_0629500_SEG1,PF3D7_0629500_SEG2,PF3D7_0730800.2,PF3D7_0830500,PF3D7_0831400,PF3D7_0925900,PF3D7_1025300,PF3D7_1105800,PF3D7_1136200,PF3D7_1229300,PF3D7_1237900,PF3D7_1252300,PF3D7_1343700.KELCH.,PF3D7_1345100,PF3D7_1401600.PHISTB.,PF3D7_1407800.PM4.,PF3D7_1455300,PF3D7_1460600.ISP3.,PF3D7_1462300,PF92,PFA0135W,PFA0210c,PFA0445W,PFD1130W,PfD1160W18,PfD1160W19,PFSEA,PTEX150,PTRAMP,RAMA,RH1,RH2b,RH5,RHOPH3,RIPR,RON3,RON6,SERA2,SERA3,SERA4,SERA5,SERA7,SERA9,SPATR,Surfin4.23D7A,Surfin4.23D7B,Surfin4.2Conserved,Surfin4.2K1,Surfin4.2K1A,TLP
-121,47453.5,28485,-19.5,3462.5,6233,30676.5,-66.5,7305,2635.5,4961,12027.5,8459,6833.5,60998.5,19538,9857.5,62672.5,28609.5,50520.5,4271,17249.5,12647,4707.5,6075,4005.5,13160,23332,8561,64040,33664,63435,58333,30129.5,14486,3116.5,9621.5,626,63515,27522.5,5531.5,63229,11924.5,6262.5,41781.5,63559,8800,1782,63447,58603.5,3121.5,56232,3149,646.5,2980.5,1282.5,5162.5,1448,38138.5,44887.5,1866,4437.5,8919.5,8251,5178,14405.5,1819.5,8527.5,64171,64127.5,4300,7720.5,3595.5,26.5,6652.5,10933,11649.5,93.5,-59.5,546,6548.5,17192.5,286,4436,8967,4485,5473,3582,9866,11926.5,2569.5,22879,508.5,63469,64041.5,8880.5,48731.5,9277.5,4423,3812.5,2289.5,616,8376.5,4362.5,12037.5,10697,5798,11108.5,6738,4714.5,36863,32118.5,435.5,8709,4476.5,2663,9438
-3.5,60866.5,30231.5,-326,1035,3426.5,36749,-654,60632,3581.5,7563.5,10296.5,769,6829,58527,12155.5,51561,58713.5,17364,26215,2050,9732,11791,7341,5160,14800,13883.5,8607.5,5520,58545,62380,64790.5,64621.5,61642,9095,2565.5,1972.5,754,61733.5,57852.5,3104.5,8653.5,6258,4763,11808.5,15845.5,9839.5,3876.5,60198.5,60104,1875.5,29581,2187,1595,12686,771,38588.5,3768.5,38036,6806.5,310.5,2469.5,1893.5,2755.5,4515.5,5104.5,6836,4131,9964,59053.5,1818.5,3305,1950,173,3315,4554.5,4514.5,54,-20.5,174,2286.5,8570.5,82.5,2980.5,3631.5,1361,3774.5,1420.5,2779,5058,2378.5,9992,3770,27258,26897.5,4802.5,5947.5,9406.5,1495,1456.5,898.5,140,2782,2699.5,4125.5,5592,2424,6850,3545,1239,20010,13302.5,251.5,38938.5,3658,1916.5,4484.5
57.5,63844.5,16670.5,-63.5,737.5,6100,34698,-7,13285,2175.5,4443,13490.5,896,9349,60150,9597.5,8186.5,61393.5,36779.5,43911.5,3247,8949.5,7261.5,2236.5,5945,2665,9283.5,8827.5,6385.5,10372,1778.5,7635,64783,50519.5,11248,4830.5,2311,2122.5,62317,11971,5980.5,10894.5,9573.5,6408.5,10756,13810.5,7031.5,639,38703.5,38933,5149.5,23789.5,3933,-104,11915,2625.5,4602,2916.5,17664.5,9414,2571.5,5090,9022,7973.5,7862,8577.5,2681,8077,14972,38354.5,6074,7709.5,5863,-30.5,5767,7657,10203.5,-2,-5,617.5,6472.5,13447.5,83.5,6530,9016.5,4860.5,5572,3821.5,8651.5,11393,3655.5,14440.5,694,34005,29119.5,10753,10918.5,7622.5,3701.5,7224.5,4902,972.5,7070.5,4921,8760,8827,8801,21198,6107.5,5139.5,17619,14779.5,639.5,11033,18330.5,2694.5,6497.5
-32,61887,25104,-86,439,4281,35503,440.5,63661,892.5,10646,33310.5,1004.5,7643,59951,5662,15772,58358,63604,4754,2825,-138.5,69,3621,2825,338.5,-6.5,-16.5,-4,64380.5,637,32131,57355,62909,12517.5,6389.5,1402.5,140,59601,42968,18450,16447,10134.5,3850,942,3852,115.5,19590.5,59417,61603,3909.5,58392,6389.5,1842,20274,2328.5,4571,5148,19809,22517.5,1273,3912.5,3179,5803,2495.5,1498.5,1548,8715,235.5,48899.5,2360.5,1922,2932.5,-29,236,10209.5,5297,-12.5,-16,262,191,17617,84.5,4493,3203.5,1489,7115.5,5225.5,6455,13562,5791.5,2790,600,45092,23485,991.5,20012.5,7612,4490,2990.5,2644,1428.5,3483,4323,550.5,11383,7974.5,9966.5,5887.5,2551,24932,472.5,246.5,683.5,50,-107.5,9712
-17,6653.5,7790,114.5,216,1201.5,49693.5,-119.5,1119,274.5,1175.5,2853.5,-192.5,1096.5,59322,1983,2691.5,3312,3418,1729.5,316,420.5,230,998.5,3655.5,169,-29,-3.5,-21,1773.5,-248.5,256.5,309.5,7594,4812.5,5764,104.5,-12.5,10459,2341.5,1556.5,2173,2767.5,1249.5,314.5,1257,70.5,92,64506.5,64126,832,15022.5,762,-9.5,837,465.5,676,392,2833.5,1799.5,107,1399.5,658.5,1621.5,779.5,2940.5,355.5,1164,138,9828,526,1238.5,1206.5,-43.5,99,1791.5,2290,-10.5,-16.5,177.5,40.5,1232,41,1313,737,300,1812.5,955,1725.5,1965,1180,-404,739.5,45591,7548,468,8591.5,2469.5,992,1089,575.5,59.5,1639.5,1443.5,117,3175.5,1544.5,2624.5,2327.5,911.5,5890,89.5,-74,-4.5,263.5,-70.5,1890
-10.5,4864,7892.5,134,200.5,1599.5,30664,-128,690,416,1679,4043,61.5,989,60309.5,2455.5,3535.5,6564.5,5988.5,5572.5,430,-62,648,2117,1708.5,184.5,-31,224.5,-136,1687,117.5,331,258.5,6452.5,7720,4922,140,53.5,7705,3189,1253.5,2099.5,3879,865,-59.5,2454.5,328,60.5,45339,42053,722,19872,896.5,61,774.5,278,491,88.5,2803.5,2345,83,1015,780.5,1686.5,1057,2480.5,244,810,1494,31282.5,437,1118.5,630.5,-16.5,738.5,2880.5,1720,-15.5,-3.5,157.5,89,631,30,1178,992.5,440.5,1852,540,1525,2988,403.5,2181.5,472.5,27092,20921,664,2794,809.5,692,672,542,54.5,1298.5,1091.5,283,3650,952.5,3515,2161.5,612,4088.5,418.5,-173,76,383,-37,1270
-8.5,27647,17276,-5.5,1405,1752.5,46463,14,3066.5,2000,7087.5,11113.5,834.5,3119,60712,14302.5,11623.5,42362.5,7457.5,33403,2762.5,1007,4117.5,3064,3705.5,1680,4691,9405.5,1148,19213,3665,7995.5,25380.5,22784,33144.5,3459,3849.5,1014.5,64194.5,14622.5,1905.5,5667,11551,1539.5,8104,8181.5,3869,826.5,4599,3480.5,969.5,22396.5,391,1169.5,1365.5,552,2428,605.5,11885.5,4736.5,98,1718,1767,2506.5,2190,3793.5,429.5,3652,4493.5,64849,676.5,2049,914.5,-22,1449.5,5693.5,2436.5,-8,-20.5,136,1748.5,5735,162.5,2020.5,2843,542.5,2714,1149.5,2167.5,2886,1676,5166,2135,28029.5,13329,2442,6288,3476.5,926,954,643.5,149,2609,2172.5,794.5,3973.5,1940.5,4974.5,2645,823.5,14534,8227,248.5,2848,3468,1455.5,3052.5
158,64332,18233.5,901.5,639,1844.5,48142,1036.5,9592,1130,2202,8968.5,735,2501.5,61375.5,8304,9341,60578.5,7510,3232.5,1113.5,434.5,6106,4066.5,2139.5,1304.5,3072.5,4687,254.5,64552,64384,62308.5,63198,35100,6080,6376,1677.5,468.5,62628,12938.5,4504.5,6917,4951,1947.5,1186,7208.5,4348.5,1192,63983,63029.5,1492.5,20252.5,1160,-350,3829.5,1590.5,1739,1140,6570.5,11452.5,275,2257.5,1190,2854,4702,4745,809,1095.5,7683,31219.5,1119,3481.5,1324,-15.5,2381.5,6064.5,2400,-36.5,-34,147.5,2427,6004.5,45.5,3193,3468.5,546,3278,1053.5,3685.5,3276,1085,4220,4714,63302,15453,4087,6488.5,6067.5,932,1636.5,3243,185,2858,2451,3603,6707,10002,3983.5,3363.5,1122,7362,3523,-198.5,11458.5,2811.5,185.5,2887
-45.5,61219.5,42295.5,103.5,1860.5,3484,37477.5,175,30570,2472.5,6694,22414,5542.5,5377,60918,14496,30886.5,64131.5,64196.5,36467,7244.5,35239,24340.5,50198,10088.5,12178,57305.5,63648,17711.5,64207.5,63164,63947,52840,22376,15169,4015,3797.5,727,62695,63382.5,8965,18281.5,20017,3544.5,50071.5,36007.5,12128,8681,43351,41181,1676.5,64154,1406,1445,18839,1164,3977.5,1826,37849,17870.5,341.5,4431.5,4845,6405.5,3753.5,13353.5,2065,2623.5,47849,64766,1605.5,6756.5,2207,-6.5,6982.5,11251.5,7042,26.5,11.5,231.5,7503.5,11738,102,4061.5,7311.5,1428,6283.5,2152.5,4413.5,10325.5,2644,30049.5,7336,63047.5,64412,8562,33595,6905,1809,2411,2177,330,7210.5,4296,10812.5,11372.5,7105,9891,8027.5,8615,18759,31435.5,355.5,24418.5,9570,2405,7263
-20,63257,63509.5,-79.5,1650,3850,30043,-9.5,25048,1857,4060.5,15760,569,12526,59819,23408.5,21955,60236,63921,33620.5,9815,14747,20248.5,6289,9890.5,4644.5,11103.5,20318,12412,64345.5,62594.5,64358.5,63886.5,40352.5,10588,3234.5,7230.5,1795,23048,44816,9465.5,12032.5,11479.5,2281.5,17659.5,19530,16199,12105.5,10769.5,10621,2252.5,54418.5,830,4107.5,2048.5,1220.5,5817.5,1639,22795.5,12513,415,5074,4794,4666.5,3048,7528.5,1846,3003,23809,64638,1345.5,4391,1828,10,4452,10540,5272,44,-11.5,269,4881,9777.5,83,2952,4638,1718,6675.5,1659.5,4678.5,6977,2099,24605,3910,44477.5,36980,11444.5,63540.5,7125.5,2698,2132,2307,495,5899.5,3883,6946,7874,4454,16828.5,5444,2187.5,12331,28218.5,485,12292,6938,4481.5,4878.5
121,11196,15515,113.5,868.5,4457.5,32509,-83.5,2789.5,1912.5,2712.5,4744.5,673.5,6209,60482,7346,11434,10544.5,13731.5,20906.5,5248,8293.5,5572.5,5072.5,2593,1773.5,6595,7040.5,3466.5,4322.5,2368.5,4525.5,5731,5958.5,5975.5,6847.5,734.5,621,15067.5,8417,3245.5,5729.5,62159,2896.5,7496.5,8477.5,7782.5,1668,48791.5,47385.5,4481.5,24589.5,2179.5,160,2268,1474,2888.5,888,15620,5506.5,451.5,3190,3955,5015,2751.5,6437,1350.5,2675,8378,64058.5,2270.5,3364.5,2205.5,-8.5,3781.5,8523,5460.5,-63,-98,233.5,4548.5,6018,85,3695.5,4659.5,1660.5,4093.5,1634.5,3823,7316,3241.5,10580.5,2476.5,33887,10650,4769,8470.5,6341.5,3557,4170,1479,350.5,4257,2580,5172,6271.5,3465.5,6563,5445.5,1598.5,9404.5,8506,530,18555.5,8720.5,1118,2743
-15,63538,18658,-6,707.5,3349.5,43506.5,124,6503,2674,6124.5,10509.5,2052,5096.5,60062,12043,6900,63000.5,64124.5,54396.5,4047,14209,10905.5,7505.5,5025,3932,18906,12871,7974,13080,11443.5,28385.5,64722,47482,12528.5,2721.5,3488.5,823.5,63148.5,21717.5,2443.5,8247.5,8316.5,2837.5,29104,28696,25757.5,2316,44904,44195,1680.5,27658,2876.5,627,4260.5,981,38602,5786.5,17439,47849,376,3447,3175,3694,2487.5,6336,5289,2196,16189.5,59462.5,1536.5,4456,1477.5,-4,3949.5,3090,5265.5,-10,-19.5,278,3560,9512,63,3274.5,3115,1423.5,6541,1268.5,3870.5,6254,1682.5,15595.5,5772,36499,15301.5,5462.5,4766.5,24035,2447,3065.5,14928,489,4013.5,3230.5,11079,22785,49329.5,10154,4447.5,22565,14496.5,27367.5,532.5,15199.5,7404.5,3499,4548
-4.5,63257,63558.5,164,1761.5,4188,47922.5,-59.5,3937.5,2487,3819,13713,10472.5,4061.5,58187.5,9674.5,15049,61000.5,20186.5,25328.5,8440,23094.5,17120,10350.5,64699,8776,16820,64662.5,64395.5,64046,63383.5,64314.5,64045.5,20789.5,21221.5,2419.5,2039.5,582,61248.5,48807,9503,63945,18491.5,7612,17924,24117,10280.5,17389,64081,63554,2360.5,63774,3248,10287,4907.5,905.5,3463.5,2498,20170.5,9423.5,527.5,3984.5,4381.5,5643.5,5330.5,7747.5,1285.5,2304,25728.5,64713,1762,4518.5,2378.5,29.5,3919.5,19354,5269.5,49,-4.5,261,6408,13577,82,2915.5,3668.5,4199.5,5352.5,1679,4716,7149,1761,16590,4176,63515.5,64051,7303,19006,6621.5,2158,2267,1965.5,487,4922.5,3742,6115,8295,4093.5,7181.5,6277.5,1800.5,12635.5,22238.5,331.5,18814,8232,1435.5,5709.5
295.5,63572.5,27399,1081.5,2945.5,3917,44789.5,-6,12811.5,1705,10481,16583.5,2146,9340,59535.5,12147.5,11158,59797,63528.5,34754.5,5994,28674,21106,17529.5,18282,10381,14969.5,22010.5,13095,49380.5,12843,23436.5,64583,16538,15977.5,7809.5,2037.5,707.5,24628,40715,8959,9634,9662.5,3796,38389,24922.5,14390.5,4822,42920.5,44947.5,3843,46049,1786,-134.5,5692,1676.5,3592.5,1615.5,14751.5,10913.5,857,5817,8997,7346,6643,13328,1528,5470.5,22548.5,64745.5,2783.5,8471.5,2697,19,5650,6962,6895,129,98,369.5,5432,37413.5,137,4790,8588.5,1456.5,8374.5,3301,5892,7124.5,3586,10655.5,11890,30706.5,30194,10524,16954,7529,1678,2925.5,2039,400,6503.5,5105.5,9315.5,12336.5,4503.5,15203.5,7170,2097,19401,23177,234,15079.5,9097,2573.5,8583
-41,17824.5,14713,-24,276.5,4423.5,42615.5,-5,4199.5,174.5,3442.5,9431.5,336.5,4189.5,59843,7568.5,4368.5,10361,14499,36695,2011,2708.5,267.5,1078.5,3796,2273,3347,-37,2297,38537.5,90.5,16956,39917.5,10170.5,10388.5,4387.5,1195.5,83.5,35007.5,11202,3639,6260.5,11673.5,3723,5412,9411.5,148,80.5,56518,52160.5,3383,36537,2885,387,3789.5,1668,2425.5,1973.5,6774.5,6800.5,1464,3923,3440.5,5717,1842.5,3377,744,3219,340,36588.5,3149.5,2354,1584,-8.5,574,4562.5,6910.5,-14.5,-23,311.5,165,6441,15,2727,1968.5,2512,5754,2168.5,4929.5,6976.5,2546,9042.5,1335.5,33614,11752,700.5,7200.5,5796.5,2074.5,4459.5,2236,727.5,4641.5,4627.5,180,6936,4391,7853,5173.5,2651.5,8598,4406,246.5,88.5,116.5,495.5,4817.5
-8.5,63287,12315,-2,23.5,3044,49432.5,-27,2718.5,65,1833,9948.5,569.5,4758.5,60489.5,10138,3425,58952,21590,22642.5,11943,24355.5,57,224.5,5289.5,8450,6501.5,-124,10364.5,26759,-64,64913.5,30621,20013.5,7706,1056,1884.5,-2,63592.5,45618.5,21359,19190.5,5165.5,1698,9820,12341,-3.5,209.5,58237,58308.5,1508,50194.5,4047,2667.5,3427,780.5,2649,4544.5,9155,7319.5,391,1636.5,2317,3685,142,339.5,313.5,2017.5,90.5,4062.5,1405,254,421.5,-4,55,7046.5,3681,6,-1,244,41,6250,62.5,1717,266,879,2005.5,696,3144.5,4491.5,1228,-995,322.5,62962,16408,36.5,6597,4436,2032,2372,948,578.5,1981.5,1980.5,20,3509,2840.5,3747.5,2828.5,2345.5,7941.5,12778.5,260,70,-5,1222.5,1615.5
115.5,41348.5,19749,-37,748.5,13608.5,52647,-18,14228.5,3002,11525,19113,434.5,18151,58901,9436,15814,24205.5,18414.5,21855,3086,4896.5,1788.5,2888.5,4837,1830,4174.5,1735.5,4311.5,18282,115,8257.5,4010.5,17460,15630.5,14828,1209.5,300,27788,33409,11974,14555.5,14472.5,12693.5,6331,8750,2797,1468,64321.5,63824.5,11163,20914.5,6265.5,84,9279,7126.5,6354.5,6716.5,16854.5,18447,2987,10087.5,12120,15558,12325.5,23441.5,6152.5,14186.5,11369.5,34026,10855,13574.5,12477.5,-8.5,8778,14093.5,15801.5,-20,-35,376,5950,16326.5,443,12731,14036.5,9024.5,9080.5,10790,14674.5,15126,11167,1404.5,1999,43918,26096,10703,15722.5,14308,4723.5,11432.5,9475,1963,13902,11653,12879.5,14549,17237,16718.5,13360.5,9299,16990.5,8699,314.5,1835.5,1130,887.5,14872
105.5,56049.5,31525,11.5,1373,4166.5,51848.5,-103.5,10781.5,1933,2016,14588.5,1310.5,35985,60139,32276.5,9612,62361.5,62862.5,40020,4480,11126,9207.5,7504,15725.5,3160.5,8363,35346,15609.5,63698.5,61488,63225.5,55826.5,14222.5,11638.5,4770.5,3197.5,687,62933,21545,7165,11301,12541,4002,11125.5,20599,6519,2596.5,60772,297,2356,63686,803.5,4836,3423.5,1233.5,21651,660.5,22453,7989.5,225,5317,4489,6123,3070.5,8382.5,3587,3907.5,22413,63919,1441,4981,2306,-17.5,4290,9479.5,5778,-16,-30.5,259,4586,16833.5,106.5,4179.5,4719.5,1453.5,7976,1939.5,4795,9698,1173.5,5575.5,8216,54978,42912,7800.5,19477.5,8464.5,2932.5,2760,1642.5,470,4675,3444.5,4535,7757.5,4688.5,15321.5,4811.5,2617,13793,46461.5,474,7949.5,5926.5,2646.5,15223.5
-57.5,51674.5,32683,41,1791,3606.5,43118,621.5,5756.5,3545.5,3247,23748,3486,8752.5,59749.5,18095.5,24317,63600.5,24460,46988,12190.5,19993,23573,9176.5,6548.5,4764.5,12939,15161.5,7820.5,33720,12795,24752.5,64257,45588,23154.5,4681,3359.5,1105.5,60802.5,37069.5,8826.5,9496.5,17015,5262,21301.5,36916,34329.5,49260,64012,63719.5,1986.5,61722.5,3203,7990,2895,982,3613,1271,17418.5,11605.5,355,6663,5255,5321,11741.5,9094.5,1145,2174,27037.5,64769,1753.5,6219,1505,15.5,3980,14859,5161,-7,-46,231.5,25604.5,11728,66.5,4044,6608.5,1519,8008.5,1775.5,5058.5,7501.5,2255,36667.5,7238.5,62202.5,42367.5,7590,64279.5,8100.5,2640,1897,1335,213.5,6521.5,4451,6717.5,11885,4849.5,16091,5627.5,4084,14175.5,24616.5,448,13195,7207,2217.5,10313
-34,18752,12925.5,-173.5,121,1996.5,27914.5,7534,6240,554.5,1308.5,6756,-7,4529.5,60879.5,7029,24548,25373,9928.5,20897,18975.5,63762.5,18125,3373,54473,55305,9007.5,8921.5,59669,64523,2036,64207.5,5039.5,11862,4942.5,19827.5,845,160.5,64105,63886,2840.5,3282,9521.5,2506,8166.5,7213,631,-17,33217,23155,1222,15406,417.5,1010.5,1554,342,2514,485.5,5137,3421,177.5,2120.5,1856,2594.5,1132.5,3163.5,351,1343.5,5644.5,23431,1027.5,3572.5,1368,-19.5,803.5,9659,2466.5,-14.5,-22,194.5,1795.5,9486.5,-5.5,1397.5,1592,719.5,3040.5,719,2442,3183.5,860.5,10839.5,2486.5,14898.5,8970,2368.5,4229,2961.5,1268,1517.5,816,198.5,2417,1677,409.5,3273,2324,16287,2593.5,1463,6944,11350.5,434.5,359.5,1590.5,2110,3089.5
-353.5,63165.5,42530.5,-136,2684,9625.5,13255,-44,33190.5,1480,4177.5,45282,2511,5097,59733,19089.5,23627,57443,33477,55364.5,41258.5,60567,34117.5,18159,14948,27762.5,28131,30911,20500.5,63940,63273.5,62215.5,61718,39618.5,25195.5,4712,5127,526,61533,58173,45534,35718,22576.5,6012.5,37093,47052,20931,30501,33609,689,2455,63514.5,723,16539.5,3277.5,922.5,6152.5,2366,32002.5,34078.5,453,5461.5,9671.5,8612.5,5292,11706.5,2931,7706,32443,63429,4237.5,11805.5,2888.5,-24,9052.5,15521,12717.5,-123.5,-177.5,157,11713.5,20680.5,-7,4971.5,8229.5,2353.5,7292,3494.5,8920,17098.5,2144,43569,11803.5,61625,49401.5,10736.5,30774.5,17731,7934,5097,8581.5,458.5,8214,4452.5,14434,17806.5,23054,15882,7931.5,3905.5,19648.5,43763,633.5,23708.5,11942,17692,8966.5
-53,19908,30967,-17.5,1180,1755,45300.5,224.5,4835,1788.5,2852.5,17028,717,7181,59958,46483,8761.5,62948.5,20371.5,64640,13056.5,9419.5,19743,5782.5,3600.5,3207.5,9304.5,8604,3441,64599,26915.5,46928.5,63606,23536.5,12891,3013,3869,1160.5,63539.5,61407.5,5983,12928,14124,3767.5,15609,15775,8282.5,21086.5,21023,17512.5,876,30977.5,1034.5,-109.5,1286.5,798.5,2294.5,1936,9625,3889.5,145,3052.5,2480.5,3168.5,2375,6052.5,625.5,1517.5,10651,56974,1003.5,5138.5,1256.5,-23,3935.5,8276,3633.5,-28,-21.5,172.5,2763,8520.5,30.5,2341,3940,1594,3347.5,1585,3249.5,3362,1653.5,23379.5,4778.5,33174.5,24351,5031,4737.5,3381,1074,1448.5,766,139.5,3248,3385,4275.5,5217,2422,4800.5,4007.5,1606.5,8958,31815.5,217.5,12777.5,4111,1009.5,3331
-0.5,62553.5,17523,-157.5,36,1997,29786.5,3298.5,7176.5,185,3139,8221.5,851.5,5672,59712,10997.5,34351.5,60766,29637.5,35301.5,12120.5,25707.5,1920,4162,3939.5,3851,7361.5,3262,6541.5,38518,3153.5,38056.5,5459.5,29381.5,11102.5,19079,1495.5,-14.5,59686,52729,1638,5960.5,9359.5,3287,11083,25354.5,195.5,41.5,13684,3177.5,1292,22915.5,237,1011,4830.5,552,17128.5,1636,8664.5,5649,164.5,3161.5,2381.5,3169,3088,1787,1147.5,1670.5,1518,12609,1192.5,2204.5,1403,-1.5,223.5,17553.5,3679,-15.5,-20.5,179,662,9792,-12.5,1594.5,1198.5,596,3505.5,342.5,2560.5,4194.5,1366,1354.5,2591.5,47615.5,18139.5,621,4717,2633,1320.5,1123,1078.5,111.5,2421.5,2756.5,256.5,3980.5,2124.5,4607,2760.5,1390.5,7258.5,34798.5,442,718.5,484.5,1362,2010
75.5,63967,10821,91,622,2263.5,43806,1086,12615,4088,1631,13098,2899,3710,60839,9917,4228.5,61705,10487.5,37250.5,3638,8759.5,7628.5,6896.5,3819,5486,33717.5,12869,6745,61229.5,55312.5,62216,60116.5,16072.5,5191.5,2467,2461,883,62821,18300,3983.5,4932,4979.5,4014,11448.5,31364.5,8012.5,2186,64291.5,385.5,1247.5,17278.5,430,5697.5,2844.5,461,5606.5,1472.5,9241.5,25664,183.5,2453,2443,3769,1689,5471.5,747,1690,8019,27150.5,881.5,3620,1258.5,-14.5,3485,4795,3722.5,-21.5,-10.5,246.5,2691.5,7790,-3,2368.5,3262.5,2045,3568,852.5,2963,5203.5,972,7108,3444.5,32566.5,14419.5,4350,3571,6494.5,1690,1226.5,960,295,2815.5,2503.5,2885.5,5107.5,1693,4414,4299.5,1715,8314.5,14647,285,6118.5,4176,3572.5,2744.5
-57.5,64534.5,48192,47,678.5,2564,57573,1227.5,45552,15264,4642,18714.5,451,7637.5,59504.5,9194.5,34858.5,62289,45494.5,23749.5,4792.5,7038.5,4791,9662,7297,1856,2424,1919,-376,63038.5,567.5,38720.5,63946,60813,21430,3202.5,1343,383,62725.5,52490.5,8266,9356.5,14173.5,16530.5,5499.5,14685.5,2813.5,699,63071,62240.5,5702.5,43997,3243,792,2451.5,1349.5,4821.5,962.5,37962.5,19871,213.5,3934.5,2115.5,3742.5,3920,5326.5,1166,2137.5,4601,64749.5,1149,4575,1540,99.5,2977.5,8760.5,3851,-16,-2.5,208,1297.5,7224,100,2835,3540,5744,5891.5,1468,3469.5,4033.5,1937.5,6997.5,1840,61586,46504,4114.5,17611,6992,1412.5,1499.5,2100.5,422,3178.5,3473,7691.5,10632,5685.5,14383.5,4444.5,1592,19628.5,1167.5,160,2013.5,2715,244.5,11100
-10.5,32538.5,35684,-303,355,4677,36917,512,2324,250,2880,12651.5,-502,6251,59979.5,10258,6878,64618,24037.5,36683,7163,28452.5,935,8003,13206.5,6143,23821,1952,12052,33434.5,-146,40190,64217,22883,16637.5,23677.5,1806.5,267,63739,28820,4497,7612,19975,3500,32980,44734.5,1136,146.5,62798.5,63622,2120.5,30483,1684.5,1208.5,1717,1034.5,3053.5,730,15349.5,7875,465.5,2632,3207.5,5756,1761,5302,724,2671.5,1815.5,62443.5,1501,4504.5,1390.5,-13.5,509.5,4669,6851,-32,-7,298,221,7681,29,1973,2523.5,2748,5406,1451.5,4579,7446,1687,1097.5,3133.5,62931,32411,1389.5,14159,10175.5,2354,2694.5,1063,150.5,4109.5,2461,1052.5,8383,2973,13745.5,4306.5,2019.5,15431.5,25096.5,783.5,855,1008,1679,3526.5
208.5,60888.5,27830,236.5,984.5,3548,39797,-9,5931.5,1985,3168,35983.5,1104.5,5966.5,57627,20077.5,36022.5,60632,50332,49789.5,5044,14431.5,7193,5387.5,6940,3332,10285.5,10785,5958,64610,63880.5,63879,60141,36185,10283,5736.5,3256.5,933.5,62911.5,60532.5,6554.5,42724.5,18897.5,4988.5,12700,40401,6732,3472,59957,693,2057.5,60348.5,1908.5,13571.5,5663.5,1020.5,37858.5,1805,28235.5,18226,368,6469,4392,5449.5,3054.5,7705.5,5619.5,3858,14139,63482.5,1964,7667.5,2375,-4,4985.5,9926.5,5623,-22,-39.5,370,4281.5,45959,94,4652,4948.5,2119.5,11755,2362,3225,15237,2671,5109,3269,42570.5,32068,6520.5,15947.5,10824,5651.5,2095.5,3405,352.5,4802.5,4037,5342.5,15077,8750,17502.5,6092,2266.5,17393,18591.5,-30.5,28904,5774.5,2406,9828
-26,62550,14843,3180,623,1653,38248,264,5554.5,2944.5,1046,17322,2207.5,2874,57555,11662.5,4130,63727,39974.5,27332,7853,21275.5,20683.5,18067.5,-26.5,9147,19870.5,22629,17286,38499,26174,64571.5,64058,13644,7837.5,2696,1082,669,12421.5,25517.5,1641,17674,6818.5,1683,28323.5,30160,14456,20392.5,64052,1461,828.5,12260.5,406,940.5,1087,302.5,1468.5,364.5,48524.5,25406,184,1834.5,2212,3325.5,1909,7307.5,669.5,1155.5,13802.5,64867,763,3582,1403,-8,4185,5881.5,3838.5,-5.5,-14.5,210.5,3882,8250.5,27,2236.5,3086.5,601.5,2471.5,1156.5,3270,2609,2519,42280.5,18175,24235,23656,4216,6269.5,13661.5,1031,1692,9816,151,3790,2086.5,3038.5,8085,22474,44980,2818.5,949,16452.5,25338.5,478,9716.5,9614.5,3622.5,2302
