sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
533,1,PF3D7_1455300,65535,9649,55886,1,3,15,3,KK2-17_first
533,1,PF3D7_1025300,9455,9496,-41,1,4,15,3,KK2-17_first
533,1,PF3D7_0925900,58452,9589,48863,1,5,15,3,KK2-17_first
533,1,PF3D7_0831400,65535,9954,55581,1,6,15,3,KK2-17_first
533,1,PF3D7_0730800.2,65535,11028,54507,1,7,15,3,KK2-17_first
533,1,PF3D7_1407800(PM4),11486,10892,594,1,8,15,3,KK2-17_first
533,1,PF3D7_0629500_SEG2,65535,9627,55908,1,1,16,1,KK2-17_first
533,1,PF3D7_1345100,65535,9572,55963,1,2,16,1,KK2-17_first
533,1,PF3D7_0206200,65535,9316,56219,1,3,16,1,KK2-17_first
533,1,PF3D7_1105800,65535,9207,56328,1,4,16,1,KK2-17_first
533,1,PTRAMP,65535,9594,55941,1,5,16,1,KK2-17_first
533,1,EBA181,65535,10088,55447,1,6,16,1,KK2-17_first
533,1,CD4TAG,35142,10733,24409,1,7,16,1,KK2-17_first
533,1,SERA2,65535,11638,53897,1,8,16,1,KK2-17_first
533,1,PF3D7_0629500_SEG2,65535,9539,55996,1,1,17,2,KK2-17_first
533,1,PF3D7_1345100,65535,9497,56038,1,2,17,2,KK2-17_first
533,1,PF3D7_0206200,65535,9323,56212,1,3,17,2,KK2-17_first
533,1,PF3D7_1105800,65535,9331,56204,1,4,17,2,KK2-17_first
533,1,PTRAMP,65535,9548,55987,1,5,17,2,KK2-17_first
533,1,EBA181,65535,9951,55584,1,6,17,2,KK2-17_first
533,1,CD4TAG,33317,10380,22937,1,7,17,2,KK2-17_first
533,1,SERA2,65535,13091,52444,1,8,17,2,KK2-17_first
533,1,PF3D7_0629500_SEG2,65535,10222,55313,1,1,18,3,KK2-17_first
533,1,PF3D7_1345100,65535,9943,55592,1,2,18,3,KK2-17_first
533,1,PF3D7_0206200,65535,9572,55963,1,3,18,3,KK2-17_first
533,1,PF3D7_1105800,65535,9417,56118,1,4,18,3,KK2-17_first
533,1,PTRAMP,65535,9434,56101,1,5,18,3,KK2-17_first
533,1,EBA181,65535,9811,55724,1,6,18,3,KK2-17_first
533,1,CD4TAG,33315,10347,22968,1,7,18,3,KK2-17_first
533,1,SERA2,65535,12650,52885,1,8,18,3,KK2-17_first
533,1,MSP1Block2K1flank,65535,11676,53859,1,1,19,1,KK2-17_first
533,1,MSP1Block2Wellcomefull,65535,11557,53978,1,2,19,1,KK2-17_first
533,1,MSP1Block2MAD20full,65535,9995,55540,1,3,19,1,KK2-17_first
533,1,MSP3K1,24690,9592,15098,1,4,19,1,KK2-17_first
533,1,MSPDBLC-terminal,65535,9635,55900,1,5,19,1,KK2-17_first
533,1,Surfin4.2K1,65535,9837,55698,1,6,19,1,KK2-17_first
533,1,MSPDBLN-terminal,65535,10499,55036,1,7,19,1,KK2-17_first
533,1,Surfin4.2Conserved,65535,12068,53467,1,8,19,1,KK2-17_first
533,1,MSP1Block2K1flank,65535,12110,53425,1,1,20,2,KK2-17_first
533,1,MSP1Block2Wellcomefull,65535,12114,53421,1,2,20,2,KK2-17_first
533,1,MSP1Block2MAD20full,65535,10752,54783,1,3,20,2,KK2-17_first
533,1,MSP3K1,25362,9776,15586,1,4,20,2,KK2-17_first
533,1,MSPDBLC-terminal,65535,9973,55562,1,5,20,2,KK2-17_first
533,1,Surfin4.2K1,65535,10450,55085,1,6,20,2,KK2-17_first
533,1,MSPDBLN-terminal,65535,11635,53900,1,7,20,2,KK2-17_first
533,1,Surfin4.2Conserved,65535,12129,53406,1,8,20,2,KK2-17_first
533,1,MSP1Block2K1flank,65535,13070,52465,1,1,21,3,KK2-17_first
533,1,MSP1Block2Wellcomefull,65535,12541,52994,1,2,21,3,KK2-17_first
533,1,MSP1Block2MAD20full,65535,10600,54935,1,3,21,3,KK2-17_first
533,1,MSP3K1,26537,9803,16734,1,4,21,3,KK2-17_first
533,1,MSPDBLC-terminal,65535,10191,55344,1,5,21,3,KK2-17_first
533,1,Surfin4.2K1,65535,10623,54912,1,6,21,3,KK2-17_first
533,1,MSPDBLN-terminal,65535,11481,54054,1,7,21,3,KK2-17_first
533,1,Surfin4.2Conserved,65535,12015,53520,1,8,21,3,KK2-17_first
533,1,Landmark,65535,20445,45090,1,1,22,4,KK2-17_first
533,1,PfD1160W18,65535,14022,51513,1,2,22,1,KK2-17_first
533,1,PfD1160W19,65535,10426,55109,1,3,22,1,KK2-17_first
533,1,MSP2CH15019DBL2,65535,10512,55023,1,4,22,1,KK2-17_first
533,1,GST,52590,10986,41604,1,5,22,1,KK2-17_first
533,1,Buffer,11090,10101,989,1,6,22,1,KK2-17_first
533,1,Buffer,17965,10017,7948,1,7,22,2,KK2-17_first
533,1,Buffer,10494,10209,285,1,8,22,3,KK2-17_first
533,1,Landmark,65535,21806,43729,1,1,23,5,KK2-17_first
533,1,PfD1160W18,65535,13188,52347,1,2,23,2,KK2-17_first
533,1,PfD1160W19,65535,10983,54552,1,3,23,2,KK2-17_first
533,1,MSP2CH15019DBL2,65535,12175,53360,1,4,23,2,KK2-17_first
533,1,GST,51389,12026,39363,1,5,23,2,KK2-17_first
533,1,Buffer,11038,10041,997,1,6,23,4,KK2-17_first
533,1,Buffer,19752,9680,10072,1,7,23,5,KK2-17_first
533,1,Buffer,10055,9429,626,1,8,23,6,KK2-17_first
533,1,Landmark,65535,18719,46816,1,1,24,6,KK2-17_first
533,1,PfD1160W18,65535,13625,51910,1,2,24,3,KK2-17_first
533,1,PfD1160W19,63031,11588,51443,1,3,24,3,KK2-17_first
533,1,MSP2CH15019DBL2,65535,12917,52618,1,4,24,3,KK2-17_first
533,1,GST,47427,11703,35724,1,5,24,3,KK2-17_first
533,1,Buffer,11307,10291,1016,1,6,24,7,KK2-17_first
533,1,Buffer,18944,9939,9005,1,7,24,8,KK2-17_first
533,1,Buffer,10759,9593,1166,1,8,24,9,KK2-17_first
533,1,SERA5,65535,9500,56035,2,1,1,1,KK2-17_first
533,1,MSP11,65535,10223,55312,2,2,1,1,KK2-17_first
533,1,RIPR,16444,8990,7454,2,3,1,1,KK2-17_first
533,1,SPATR,65535,8706,56829,2,4,1,1,KK2-17_first
533,1,MSP3,65535,9005,56530,2,5,1,1,KK2-17_first
533,1,PF3D7_1136200,65535,9258,56277,2,6,1,1,KK2-17_first
533,1,PFSEA,65535,9311,56224,2,7,1,1,KK2-17_first
533,1,Landmark,65535,12471,53064,2,8,1,7,KK2-17_first
533,1,SERA5,65535,11315,54220,2,1,2,2,KK2-17_first
533,1,MSP11,65535,11721,53814,2,2,2,2,KK2-17_first
533,1,RIPR,21086,10671,10415,2,3,2,2,KK2-17_first
533,1,SPATR,65535,9116,56419,2,4,2,2,KK2-17_first
533,1,MSP3,65535,10250,55285,2,5,2,2,KK2-17_first
533,1,PF3D7_1136200,65535,10324,55211,2,6,2,2,KK2-17_first
533,1,PFSEA,65535,10569,54966,2,7,2,2,KK2-17_first
533,1,Landmark,65535,17657,47878,2,8,2,8,KK2-17_first
533,1,SERA5,65535,11063,54472,2,1,3,3,KK2-17_first
533,1,MSP11,65535,11505,54030,2,2,3,3,KK2-17_first
533,1,RIPR,19952,10872,9080,2,3,3,3,KK2-17_first
533,1,SPATR,65535,8984,56551,2,4,3,3,KK2-17_first
533,1,MSP3,65535,10036,55499,2,5,3,3,KK2-17_first
533,1,PF3D7_1136200,65535,10327,55208,2,6,3,3,KK2-17_first
533,1,PFSEA,65535,10591,54944,2,7,3,3,KK2-17_first
533,1,Landmark,65535,18093,47442,2,8,3,9,KK2-17_first
533,1,AMA1,65535,11717,53818,2,1,4,1,KK2-17_first
533,1,SERA9,65535,11367,54168,2,2,4,1,KK2-17_first
533,1,MSP7,65535,10486,55049,2,3,4,1,KK2-17_first
533,1,PF10_0166,65535,10138,55397,2,4,4,1,KK2-17_first
533,1,MSP10,65535,10876,54659,2,5,4,1,KK2-17_first
533,1,MSP5,65535,11313,54222,2,6,4,1,KK2-17_first
533,1,MTRAP,15427,10356,5071,2,7,4,1,KK2-17_first
533,1,PF113,65535,14486,51049,2,8,4,1,KK2-17_first
533,1,AMA1,65535,12592,52943,2,1,5,2,KK2-17_first
533,1,SERA9,65535,12054,53481,2,2,5,2,KK2-17_first
533,1,MSP7,65535,10191,55344,2,3,5,2,KK2-17_first
533,1,PF10_0166,65535,10180,55355,2,4,5,2,KK2-17_first
533,1,MSP10,65535,12224,53311,2,5,5,2,KK2-17_first
533,1,MSP5,65535,12130,53405,2,6,5,2,KK2-17_first
533,1,MTRAP,59761,9975,49786,2,7,5,2,KK2-17_first
533,1,PF113,65535,12248,53287,2,8,5,2,KK2-17_first
533,1,AMA1,65535,12757,52778,2,1,6,3,KK2-17_first
533,1,SERA9,65535,12021,53514,2,2,6,3,KK2-17_first
533,1,MSP7,65535,10195,55340,2,3,6,3,KK2-17_first
533,1,PF10_0166,65535,10245,55290,2,4,6,3,KK2-17_first
533,1,MSP10,65535,12318,53217,2,5,6,3,KK2-17_first
533,1,MSP5,65535,12112,53423,2,6,6,3,KK2-17_first
533,1,MTRAP,57026,9885,47141,2,7,6,3,KK2-17_first
533,1,PF113,65535,11711,53824,2,8,6,3,KK2-17_first
533,1,H101,65535,11927,53608,2,1,7,1,KK2-17_first
533,1,PF3D7-1431400,65535,10565,54970,2,2,7,1,KK2-17_first
533,1,RHOPH3,65535,9896,55639,2,3,7,1,KK2-17_first
533,1,MSRP3,65162,9820,55342,2,4,7,1,KK2-17_first
533,1,PF13_0125,15325,9474,5851,2,5,7,1,KK2-17_first
533,1,RH5,49052,10488,38564,2,6,7,1,KK2-17_first
533,1,SERA4,65535,9766,55769,2,7,7,1,KK2-17_first
533,1,AARP,9314,11333,-2019,2,8,7,1,KK2-17_first
