sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen9,Buffer_3248,-83,17,8,22
SID_gen9,Buffer_3254,-137,17,6,23
SID_gen9,Buffer_3255,698,17,7,23
SID_gen9,Buffer_3256,-139,17,8,23
SID_gen9,Buffer_3262,-82,17,6,24
SID_gen9,Buffer_3263,4148,17,7,24
SID_gen9,Buffer_3264,-152,17,8,24
SID_gen9,Buffer_3433,-107,18,1,22
SID_gen9,Buffer_3434,-150,18,2,22
SID_gen9,Buffer_3435,-129,18,3,22
SID_gen9,Buffer_3436,-67,18,4,22
SID_gen9,Buffer_3437,661,18,5,22
SID_gen9,Buffer_3438,2529,18,6,22
SID_gen9,Buffer_3441,-153,18,1,23
SID_gen9,Buffer_3442,-78,18,2,23
SID_gen9,Buffer_3443,56,18,3,23
SID_gen9,Buffer_3444,-36,18,4,23
SID_gen9,Buffer_3445,6453,18,5,23
SID_gen9,Buffer_3446,33834,18,6,23
SID_gen9,Buffer_3449,-80,18,1,24
SID_gen9,Buffer_3450,-78,18,2,24
SID_gen9,Buffer_3451,108,18,3,24
SID_gen9,Buffer_3452,-48,18,4,24
SID_gen9,Buffer_3453,14849,18,5,24
SID_gen9,Buffer_3454,18287,18,6,24
SID_gen10,Buffer_3630,2429,19,6,22
SID_gen10,Buffer_3631,3826,19,7,22
SID_gen10,Buffer_3632,3268,19,8,22
SID_gen10,Buffer_3638,66,19,6,23
SID_gen10,Buffer_3639,1610,19,7,23
SID_gen10,Buffer_3640,43,19,8,23
SID_gen10,Buffer_3646,-113,19,6,24
SID_gen10,Buffer_3647,1101,19,7,24
SID_gen10,Buffer_3648,-233,19,8,24
SID_gen10,Buffer_3817,2941,20,1,22
SID_gen10,Buffer_3818,1808,20,2,22
SID_gen10,Buffer_3819,1410,20,3,22
SID_gen10,Buffer_3820,651,20,4,22
SID_gen10,Buffer_3821,6635,20,5,22
SID_gen10,Buffer_3822,15499,20,6,22
SID_gen10,Buffer_3825,153,20,1,23
SID_gen10,Buffer_3826,256,20,2,23
SID_gen10,Buffer_3827,589,20,3,23
SID_gen10,Buffer_3828,956,20,4,23
SID_gen10,Buffer_3829,3645,20,5,23
SID_gen10,Buffer_3830,12591,20,6,23
SID_gen10,Buffer_3833,-191,20,1,24
SID_gen10,Buffer_3834,-165,20,2,24
SID_gen10,Buffer_3835,-74,20,3,24
SID_gen10,Buffer_3836,6114,20,4,24
SID_gen10,Buffer_3837,13592,20,5,24
SID_gen10,Buffer_3838,42456,20,6,24
SID_gen11,Buffer_4014,-80,21,6,22
SID_gen11,Buffer_4015,4180,21,7,22
SID_gen11,Buffer_4016,-76,21,8,22
SID_gen11,Buffer_4022,-96,21,6,23
SID_gen11,Buffer_4023,4443,21,7,23
SID_gen11,Buffer_4024,-163,21,8,23
SID_gen11,Buffer_4030,-113,21,6,24
SID_gen11,Buffer_4031,960,21,7,24
SID_gen11,Buffer_4032,-164,21,8,24
SID_gen11,Buffer_4201,-70,22,1,22
SID_gen11,Buffer_4202,-115,22,2,22
SID_gen11,Buffer_4203,19,22,3,22
SID_gen11,Buffer_4204,-34,22,4,22
SID_gen11,Buffer_4205,10841,22,5,22
SID_gen11,Buffer_4206,30389,22,6,22
SID_gen11,Buffer_4209,-183,22,1,23
SID_gen11,Buffer_4210,-197,22,2,23
SID_gen11,Buffer_4211,-158,22,3,23
SID_gen11,Buffer_4212,63,22,4,23
SID_gen11,Buffer_4213,2404,22,5,23
SID_gen11,Buffer_4214,11236,22,6,23
SID_gen11,Buffer_4217,-171,22,1,24
SID_gen11,Buffer_4218,-205,22,2,24
SID_gen11,Buffer_4219,-183,22,3,24
SID_gen11,Buffer_4220,-126,22,4,24
SID_gen11,Buffer_4221,921,22,5,24
SID_gen11,Buffer_4222,5907,22,6,24
SID_gen12,Buffer_4398,-110,23,6,22
SID_gen12,Buffer_4399,3137,23,7,22
SID_gen12,Buffer_4400,-279,23,8,22
SID_gen12,Buffer_4406,-167,23,6,23
SID_gen12,Buffer_4407,369,23,7,23
SID_gen12,Buffer_4408,-263,23,8,23
SID_gen12,Buffer_4414,-126,23,6,24
SID_gen12,Buffer_4415,150,23,7,24
SID_gen12,Buffer_4416,-230,23,8,24
SID_gen12,Buffer_4585,-249,24,1,22
SID_gen12,Buffer_4586,-268,24,2,22
SID_gen12,Buffer_4587,-230,24,3,22
SID_gen12,Buffer_4588,-110,24,4,22
SID_gen12,Buffer_4589,2629,24,5,22
SID_gen12,Buffer_4590,3680,24,6,22
SID_gen12,Buffer_4593,-232,24,1,23
SID_gen12,Buffer_4594,-276,24,2,23
SID_gen12,Buffer_4595,-227,24,3,23
