Block,Column,Row,Name,ID,F635 Median,B635,B635 Median,SNR 635,F635 Median - B635,global_BGMedian,minimum_BGMedian,sample,sampleID,sample_array_ID
1,8,12,PFA0135W,1L4,2469,689,689,27.274,1780,897,648,1,S_g1,1
1,1,13,PF3D7_0525800(IMC1g),1F7,7331,765,765,25.637,6566,897,648,1,S_g1,1
1,2,13,PF3D7_1460600(ISP3),1B9,3942,763,763,7.295,3179,897,648,1,S_g1,1
1,3,13,PF3D7_1455300,1H9,3955,829,829,7.457,3126,897,648,1,S_g1,1
1,4,13,PF3D7_1025300,1D11,1455,971,971,0.042,484,897,648,1,S_g1,1
1,5,13,PF3D7_0925900,1F11,1596,797,797,2.052,799,897,648,1,S_g1,1
1,6,13,PF3D7_0831400,1B7,4378,717,717,33.828,3661,897,648,1,S_g1,1
1,7,13,PF3D7_0730800.2,1H7,57041,712,712,160.91,56329,897,648,1,S_g1,1
1,8,13,PF3D7_1407800(PM4),1D9,674,668,668,-0.104,6,897,648,1,S_g1,1
1,1,14,PF3D7_0525800(IMC1g),1F7,7383,740,740,17.226,6643,897,648,1,S_g1,1
1,2,14,PF3D7_1460600(ISP3),1B9,4792,722,722,9.688,4070,897,648,1,S_g1,1
1,3,14,PF3D7_1455300,1H9,4304,730,730,12.908,3574,897,648,1,S_g1,1
1,4,14,PF3D7_1025300,1D11,963,767,767,0.517,196,897,648,1,S_g1,1
1,5,14,PF3D7_0925900,1F11,1956,718,718,6.708,1238,897,648,1,S_g1,1
1,6,14,PF3D7_0831400,1B7,5300,674,674,21.623,4626,897,648,1,S_g1,1
1,7,14,PF3D7_0730800.2,1H7,62560,725,725,415.639,61835,897,648,1,S_g1,1
1,8,14,PF3D7_1407800(PM4),1D9,710,687,687,0.388,23,897,648,1,S_g1,1
1,1,15,PF3D7_0525800(IMC1g),1F7,6443,719,719,94.537,5724,897,648,1,S_g1,1
1,2,15,PF3D7_1460600(ISP3),1B9,3713,699,699,32.327,3014,897,648,1,S_g1,1
1,3,15,PF3D7_1455300,1H9,3544,692,692,57.984,2852,897,648,1,S_g1,1
1,4,15,PF3D7_1025300,1D11,679,682,682,-0.157,-3,897,648,1,S_g1,1
1,5,15,PF3D7_0925900,1F11,1451,663,663,16.694,788,897,648,1,S_g1,1
1,6,15,PF3D7_0831400,1B7,3978,662,662,33.652,3316,897,648,1,S_g1,1
1,7,15,PF3D7_0730800.2,1H7,55497,751,751,180.364,54746,897,648,1,S_g1,1
1,8,15,PF3D7_1407800(PM4),1D9,711,699,699,-0.082,12,897,648,1,S_g1,1
1,1,16,PF3D7_0629500_SEG2,1F8,16207,715,715,215.254,15492,897,648,1,S_g1,1
1,2,16,PF3D7_1345100,1B10,6314,695,695,19.116,5619,897,648,1,S_g1,1
1,3,16,PF3D7_0206200,1H10,4637,679,679,15.038,3958,897,648,1,S_g1,1
1,4,16,PF3D7_1105800,1D12,4379,654,654,65.461,3725,897,648,1,S_g1,1
1,5,16,PTRAMP,1F12,5963,652,652,55.163,5311,897,648,1,S_g1,1
1,6,16,EBA181,1B8,3103,668,668,26.038,2435,897,648,1,S_g1,1
1,7,16,CD4TAG,1H8,2071,741,741,5.3,1330,897,648,1,S_g1,1
1,8,16,SERA2,1D10,5431,705,705,42.573,4726,897,648,1,S_g1,1
1,1,17,PF3D7_0629500_SEG2,1F8,17035,729,729,63.297,16306,897,648,1,S_g1,1
1,2,17,PF3D7_1345100,1B10,6867,704,704,15.856,6163,897,648,1,S_g1,1
1,3,17,PF3D7_0206200,1H10,4780,673,673,14.859,4107,897,648,1,S_g1,1
1,4,17,PF3D7_1105800,1D12,3704,656,656,35.88,3048,897,648,1,S_g1,1
1,5,17,PTRAMP,1F12,5345,657,657,44.925,4688,897,648,1,S_g1,1
1,6,17,EBA181,1B8,3102,669,669,31.274,2433,897,648,1,S_g1,1
1,7,17,CD4TAG,1H8,2038,697,697,5.902,1341,897,648,1,S_g1,1
1,8,17,SERA2,1D10,6686,686,686,23.424,6000,897,648,1,S_g1,1
1,1,18,PF3D7_0629500_SEG2,1F8,16253,763,763,4.929,15490,897,648,1,S_g1,1
1,2,18,PF3D7_1345100,1B10,6702,725,725,9.565,5977,897,648,1,S_g1,1
1,3,18,PF3D7_0206200,1H10,4951,684,684,34.405,4267,897,648,1,S_g1,1
