.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-05_first,533,1,MSP2CH15019DBL2,65535,11549,53986,1,4,24,3,KK2-05_first
KK2-05_first,533,1,GST,52886,11151,41735,1,5,24,3,KK2-05_first
KK2-05_first,533,1,Buffer,11134,10142,992,1,6,24,7,KK2-05_first
KK2-05_first,533,1,Buffer,24202,9945,14257,1,7,24,8,KK2-05_first
KK2-05_first,533,1,Buffer,10976,9992,984,1,8,24,9,KK2-05_first
KK2-05_first,533,1,SERA5,65535,10284,55251,2,1,1,1,KK2-05_first
KK2-05_first,533,1,MSP11,65535,9795,55740,2,2,1,1,KK2-05_first
KK2-05_first,533,1,RIPR,19761,8995,10766,2,3,1,1,KK2-05_first
KK2-05_first,533,1,SPATR,65535,8911,56624,2,4,1,1,KK2-05_first
KK2-05_first,533,1,MSP3,65535,9096,56439,2,5,1,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1136200,65535,9315,56220,2,6,1,1,KK2-05_first
KK2-05_first,533,1,PFSEA,65535,9930,55605,2,7,1,1,KK2-05_first
KK2-05_first,533,1,Landmark,65535,13586,51949,2,8,1,7,KK2-05_first
KK2-05_first,533,1,SERA5,65535,12680,52855,2,1,2,2,KK2-05_first
KK2-05_first,533,1,MSP11,65535,13018,52517,2,2,2,2,KK2-05_first
KK2-05_first,533,1,RIPR,21355,11328,10027,2,3,2,2,KK2-05_first
KK2-05_first,533,1,SPATR,65535,10647,54888,2,4,2,2,KK2-05_first
KK2-05_first,533,1,MSP3,65535,11051,54484,2,5,2,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1136200,65535,11746,53789,2,6,2,2,KK2-05_first
KK2-05_first,533,1,PFSEA,65535,14608,50927,2,7,2,2,KK2-05_first
KK2-05_first,533,1,Landmark,65535,20253,45282,2,8,2,8,KK2-05_first
KK2-05_first,533,1,SERA5,65535,13599,51936,2,1,3,3,KK2-05_first
KK2-05_first,533,1,MSP11,65535,14066,51469,2,2,3,3,KK2-05_first
KK2-05_first,533,1,RIPR,32186,12738,19448,2,3,3,3,KK2-05_first
KK2-05_first,533,1,SPATR,65535,11384,54151,2,4,3,3,KK2-05_first
KK2-05_first,533,1,MSP3,65535,12499,53036,2,5,3,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1136200,65535,13432,52103,2,6,3,3,KK2-05_first
KK2-05_first,533,1,PFSEA,65535,15986,49549,2,7,3,3,KK2-05_first
KK2-05_first,533,1,Landmark,65535,20309,45226,2,8,3,9,KK2-05_first
KK2-05_first,533,1,AMA1,65535,13792,51743,2,1,4,1,KK2-05_first
KK2-05_first,533,1,SERA9,65535,14279,51256,2,2,4,1,KK2-05_first
KK2-05_first,533,1,MSP7,65535,13209,52326,2,3,4,1,KK2-05_first
KK2-05_first,533,1,PF10_0166,65535,12133,53402,2,4,4,1,KK2-05_first
KK2-05_first,533,1,MSP10,65535,13974,51561,2,5,4,1,KK2-05_first
KK2-05_first,533,1,MSP5,65535,14576,50959,2,6,4,1,KK2-05_first
KK2-05_first,533,1,MTRAP,27927,15769,12158,2,7,4,1,KK2-05_first
KK2-05_first,533,1,PF113,65535,16939,48596,2,8,4,1,KK2-05_first
KK2-05_first,533,1,AMA1,65535,16002,49533,2,1,5,2,KK2-05_first
KK2-05_first,533,1,SERA9,65535,14503,51032,2,2,5,2,KK2-05_first
KK2-05_first,533,1,MSP7,65535,13380,52155,2,3,5,2,KK2-05_first
KK2-05_first,533,1,PF10_0166,65535,13148,52387,2,4,5,2,KK2-05_first
KK2-05_first,533,1,MSP10,65535,16460,49075,2,5,5,2,KK2-05_first
KK2-05_first,533,1,MSP5,65535,16123,49412,2,6,5,2,KK2-05_first
KK2-05_first,533,1,MTRAP,65535,15338,50197,2,7,5,2,KK2-05_first
KK2-05_first,533,1,PF113,65535,14938,50597,2,8,5,2,KK2-05_first
KK2-05_first,533,1,AMA1,65535,16689,48846,2,1,6,3,KK2-05_first
KK2-05_first,533,1,SERA9,65535,14909,50626,2,2,6,3,KK2-05_first
KK2-05_first,533,1,MSP7,65535,13522,52013,2,3,6,3,KK2-05_first
KK2-05_first,533,1,PF10_0166,65535,13587,51948,2,4,6,3,KK2-05_first
KK2-05_first,533,1,MSP10,65535,18436,47099,2,5,6,3,KK2-05_first
KK2-05_first,533,1,MSP5,65535,17563,47972,2,6,6,3,KK2-05_first
KK2-05_first,533,1,MTRAP,65535,14569,50966,2,7,6,3,KK2-05_first
KK2-05_first,533,1,PF113,65535,13436,52099,2,8,6,3,KK2-05_first
KK2-05_first,533,1,H101,65535,15492,50043,2,1,7,1,KK2-05_first
KK2-05_first,533,1,PF3D7-1431400,65535,14805,50730,2,2,7,1,KK2-05_first
KK2-05_first,533,1,RHOPH3,65535,13494,52041,2,3,7,1,KK2-05_first
KK2-05_first,533,1,MSRP3,65535,13580,51955,2,4,7,1,KK2-05_first
KK2-05_first,533,1,PF13_0125,25751,18061,7690,2,5,7,1,KK2-05_first
KK2-05_first,533,1,RH5,65535,17226,48309,2,6,7,1,KK2-05_first
KK2-05_first,533,1,SERA4,65535,14676,50859,2,7,7,1,KK2-05_first
KK2-05_first,533,1,AARP,13368,13109,259,2,8,7,1,KK2-05_first
