ATF	1												
29	31												
Type=GenePix Export 3													
DateTime=2017/09/04 10:05:51													
Settings=													
GalFile=C:\Users\rkimathi\Desktop\GAL FILE LATEST-PRE-SCAN.gal													
PixelSize=10													
Wavelengths=635													
ImageFiles=Z:\Multicenter study\4_9_2017\prescan\BRB001.tif 0													
NormalizationMethod=None													
NormalizationFactors=1													
JpegImage=													
StdDev=Type 1													
FeatureType=Circular													
Barcode=													
BackgroundSubtraction=LocalFeature													
"ImageOrigin=0, 0"													
"JpegOrigin=1660, 1840"													
Creator=GenePix Pro 7.3.0.0													
Scanner=GenePix 4300 [141110]													
FocusPosition=0													
Temperature=0													
LinesAveraged=1													
Comment=													
PMTGain=400													
ScanPower=100													
LaserPower=0.69													
Filters=Standard Red													
0	0	0	1	1	13	PF3D7_0525800 (IMC1g)	1F7	775	697	697	1.37	78	97
0	0	0	1	2	13	PF3D7_1460600 (ISP3)	1B9	743	712	712	0.688	31	98
0	0	0	1	3	13	PF3D7_1455300	1H9	724	699	699	0.533	25	99
0	0	0	1	4	13	PF3D7_1025300	1D11	691	689	689	0.122	2	100
0	0	0	1	5	13	PF3D7_0925900	1F11	684	682	682	0.162	2	101
0	0	0	1	6	13	PF3D7_0831400	1B7	688	675	675	0.447	13	102
0	0	0	1	7	13	PF3D7_0730800.2	1H7	743	676	676	1.261	67	103
0	0	0	1	8	13	PF3D7_1407800 (PM4)	1D9	691	679	679	0.182	12	104
0	0	0	1	1	14	PF3D7_0525800 (IMC1g)	1F7	772	706	706	1.231	66	105
0	0	0	1	2	14	PF3D7_1460600 (ISP3)	1B9	751	721	721	0.49	30	106
0	0	0	1	3	14	PF3D7_1455300	1H9	719	709	709	0.25	10	107
0	0	0	1	4	14	PF3D7_1025300	1D11	708	695	695	0.308	13	108
0	0	0	1	5	14	PF3D7_0925900	1F11	699	684	684	0.243	15	109
0	0	0	1	6	14	PF3D7_0831400	1B7	696	683	683	0.275	13	110
0	0	0	1	7	14	PF3D7_0730800.2	1H7	734	691	691	1.019	43	111
0	0	0	1	8	14	PF3D7_1407800 (PM4)	1D9	693	688	688	0.044	5	112
0	0	0	1	1	15	PF3D7_0525800 (IMC1g)	1F7	777	723	723	1.02	54	113
0	0	0	1	2	15	PF3D7_1460600 (ISP3)	1B9	756	734	734	0.5	22	114
0	0	0	1	3	15	PF3D7_1455300	1H9	738	722	722	0.364	16	115
0	0	0	1	4	15	PF3D7_1025300	1D11	719	711	711	0.167	8	116
0	0	0	1	5	15	PF3D7_0925900	1F11	717	698	698	0.463	19	117
0	0	0	1	6	15	PF3D7_0831400	1B7	697	688	688	0.195	9	118
0	0	0	1	7	15	PF3D7_0730800.2	1H7	754	691	691	1.245	63	119
0	0	0	1	8	15	PF3D7_1407800 (PM4)	1D9	701	692	692	0.167	9	120
0	0	0	1	1	16	PF3D7_0629500_SEG2	1F8	802	751	751	0.981	51	121
0	0	0	1	2	16	PF3D7_1345100	1B10	762	753	753	0.234	9	122
0	0	0	1	3	16	PF3D7_0206200	1H10	773	741	741	0.638	32	123
0	0	0	1	4	16	PF3D7_1105800	1D12	769	730	730	0.729	39	124
0	0	0	1	5	16	PTRAMP	1F12	736	715	715	0.478	21	125
0	0	0	1	6	16	EBA181	1B8	711	700	700	0.302	11	126
0	0	0	1	7	16	CD4 TAG	1H8	685	694	694	-0.348	-9	127
0	0	0	1	8	16	SERA2	1D10	702	694	694	0.275	8	128
0	0	0	1	1	17	PF3D7_0629500_SEG2	1F8	844	785	785	1.091	59	129
0	0	0	1	2	17	PF3D7_1345100	1B10	801	784	784	0.404	17	130
0	0	0	1	3	17	PF3D7_0206200	1H10	804	771	771	0.633	33	131
0	0	0	1	4	17	PF3D7_1105800	1D12	799	758	758	0.623	41	132
0	0	0	1	5	17	PTRAMP	1F12	770	738	738	0.451	32	133
0	0	0	1	6	17	EBA181	1B8	739	721	721	0.37	18	134
0	0	0	1	7	17	CD4 TAG	1H8	709	712	712	-0.087	-3	135
0	0	0	1	8	17	SERA2	1D10	724	712	712	0.31	12	136
0	0	0	1	1	18	PF3D7_0629500_SEG2	1F8	914	823	823	1.304	91	137
0	0	0	1	2	18	PF3D7_1345100	1B10	862	834	834	0.431	28	138
0	0	0	1	3	18	PF3D7_0206200	1H10	860	816	816	0.691	44	139
0	0	0	1	4	18	PF3D7_1105800	1D12	828	795	795	0.611	33	140
0	0	0	1	5	18	PTRAMP	1F12	786	763	763	0.373	23	141
0	0	0	1	6	18	EBA181	1B8	761	744	744	0.333	17	142
0	0	0	1	7	18	CD4 TAG	1H8	727	738	738	-0.087	-11	143
0	0	0	1	8	18	SERA2	1D10	751	736	736	0.395	15	144
0	0	0	1	1	19	MSP1 Block 2 K1 flank	1N7	981	895	895	0.784	86	145
0	0	0	1	2	19	MSP1 Block 2 Wellcome full	1J9	931	914	914	0.132	17	146
