ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2017/08/29 15:50:50"
"Settings="
"GalFile=Z:\Multicenter study\gal file\gal file_4`.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=Z:\Multicenter study\28_08-2017\datascan_28-8\KK2-18.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/594)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=1720, 830"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4300 [141110]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=0.65"
"Filters=Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/594)"	"Ratio of Means (635/594)"	"Median of Ratios (635/594)"	"Mean of Ratios (635/594)"	"Ratios SD (635/594)"	"Rgn Ratio (635/594)"	"Rgn R2 (635/594)"	"Log Ratio (635/594)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/594)"	"Sum of Means (635/594)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	6	5	24	"Buffer"	"1M12"	18980	6480	150	2282	2299	363	15	2624	2624	2850	1197	42	0	0	0	358720	-0.460	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-342	-325	-342	-325	156	972	100	1149
0	0	0	6	6	24	"Buffer"	"1I8"	19210	6480	150	5926	5767	1431	24	5671	5671	8716	11384	130	0	0	0	899648	-0.259	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	255	96	255	96	156	972	100	1150
0	0	0	6	7	24	"Commercial Human IgG"	"1O8"	19440	6480	150	65535	65535	0	0	27567	27567	31641	21789	68	100	0	100	10223460	1.556	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	37968	37968	37968	37968	156	972	100	1151
0	0	0	6	8	24	"Landmark"	"1K10"	19670	6480	150	65535	65496	425	0	29949	29949	33697	15913	47	100	99	99	10217390	1.998	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	35586	35547	35586	35547	156	1072	100	1152
0	0	0	7	1	1	"Landmark"	"1F1"	2200	10140	150	65535	65535	0	0	5086	5086	9577	12995	135	100	100	100	10223460	4.306	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	60449	60449	60449	60449	156	1072	100	1153
0	0	0	7	2	1	"MSP3.6"	"1B3"	2430	10140	150	60895	56116	10110	18	2633	2633	4538	8383	184	100	100	38	8754061	6.153	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	58262	53483	58262	53483	156	972	100	1154
0	0	0	7	3	1	"ETRAMP10.2"	"1H3"	2660	10140	150	7942	8880	3604	40	1960	1960	2188	1314	60	100	100	0	1385333	5.093	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5982	6920	5982	6920	156	972	100	1155
0	0	0	7	4	1	"GAMA"	"1D5"	2890	10140	150	65535	59803	8953	14	2251	2251	2609	2257	86	100	100	54	9329295	25.341	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63284	57552	63284	57552	156	972	100	1156
0	0	0	7	5	1	"MSRP4"	"1F5"	3120	10140	150	65535	65535	0	0	2550	2550	3788	6495	171	100	100	100	10223460	9.507	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	62985	62985	62985	62985	156	972	100	1157
0	0	0	7	6	1	"MSP4"	"1B1"	3350	10140	150	65535	65535	0	0	5220	5220	8121	12626	155	100	100	100	10223460	4.547	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	60315	60315	60315	60315	156	972	100	1158
0	0	0	7	7	1	"RAMA"	"1H1"	3580	10140	150	37257	41487	15905	38	5821	5821	7319	10151	138	97	80	13	6471967	3.366	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	31436	35666	31436	35666	156	972	100	1159
0	0	0	7	8	1	"ASP"	"1D3"	3810	10140	150	65535	62897	9871	15	2455	2455	3757	6491	172	100	99	89	9811977	9.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63080	60442	63080	60442	156	954	100	1160
0	0	0	7	1	2	"Landmark"	"1F1"	2200	10370	150	65535	65535	0	0	5853	5853	15931	20424	128	100	100	100	10223460	2.429	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	59682	59682	59682	59682	156	972	100	1161
0	0	0	7	2	2	"MSP3.6"	"1B3"	2430	10370	150	60256	56757	9279	16	3032	3032	8274	15692	189	100	100	38	8854062	3.090	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	57224	53725	57224	53725	156	872	100	1162
0	0	0	7	3	2	"ETRAMP10.2"	"1H3"	2660	10370	150	8974	9691	4164	42	2043	2043	2471	1861	75	100	100	0	1511782	3.880	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6931	7648	6931	7648	156	872	100	1163
0	0	0	7	4	2	"GAMA"	"1D5"	2890	10370	150	65535	61276	7141	11	2324	2324	3160	3708	117	100	100	54	9559048	15.673	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63211	58952	63211	58952	156	872	100	1164
0	0	0	7	5	2	"MSRP4"	"1F5"	3120	10370	150	65535	65486	501	0	2577	2577	4331	6958	160	100	100	99	10215820	8.789	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	62958	62909	62958	62909	156	872	100	1165
0	0	0	7	6	2	"MSP4"	"1B1"	3350	10370	150	65535	65535	0	0	5653	5653	9158	13871	151	100	100	100	10223460	4.064	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	59882	59882	59882	59882	156	872	100	1166
0	0	0	7	7	2	"RAMA"	"1H1"	3580	10370	150	36718	40711	15188	37	5564	5564	8675	13505	155	100	56	12	6350902	2.372	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	31154	35147	31154	35147	156	872	100	1167
0	0	0	7	8	2	"ASP"	"1D3"	3810	10370	150	65535	65196	2630	4	2415	2415	4919	9562	194	100	100	97	10170643	6.304	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63120	62781	63120	62781	156	854	100	1168
0	0	0	7	1	3	"Landmark"	"1F1"	2200	10600	150	65535	65535	0	0	5138	5138	16844	22296	132	100	100	100	10223460	2.184	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	60397	60397	60397	60397	156	972	100	1169
0	0	0	7	2	3	"MSP3.6"	"1B3"	2430	10600	150	61583	57472	8777	15	2758	2758	10381	18609	179	100	99	37	8965618	2.531	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	58825	54714	58825	54714	156	872	100	1170
0	0	0	7	3	3	"ETRAMP10.2"	"1H3"	2660	10600	150	10143	12948	10507	81	2126	2126	2751	2260	82	100	96	1	2019873	4.512	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8017	10822	8017	10822	156	872	100	1171
0	0	0	7	4	3	"GAMA"	"1D5"	2890	10600	150	65535	61562	7961	12	2184	2184	3221	3779	117	100	100	60	9603704	15.438	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63351	59378	63351	59378	156	872	100	1172
0	0	0	7	5	3	"MSRP4"	"1F5"	3120	10600	150	65535	65423	1026	1	2425	2425	4391	8145	185	100	100	99	10205935	7.493	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63110	62998	63110	62998	156	872	100	1173
0	0	0	7	6	3	"MSP4"	"1B1"	3350	10600	150	65535	65535	0	0	2997	2997	7639	13234	173	100	100	100	10223460	4.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	62538	62538	62538	62538	156	872	100	1174
0	0	0	7	7	3	"RAMA"	"1H1"	3580	10600	150	38184	40433	13755	34	2867	2867	7474	13639	182	99	67	5	6307581	2.417	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	35317	37566	35317	37566	156	872	100	1175
0	0	0	7	8	3	"ASP"	"1D3"	3810	10600	150	65535	64151	6059	9	1960	1960	3994	7585	189	100	100	89	10007583	7.931	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63575	62191	63575	62191	156	854	100	1176
0	0	0	7	1	4	"PFD1130W"	"1F2"	2200	10830	150	6746	8541	5976	69	2241	2241	8112	16840	207	4	1	0	1332473	0.025	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4505	6300	4505	6300	156	972	100	1177
0	0	0	7	2	4	"EBA 140"	"1B4"	2430	10830	150	2424	2589	550	21	2402	2402	6653	14294	214	0	0	0	403931	-0.284	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	22	187	22	187	156	872	100	1178
0	0	0	7	3	4	"MSRP2"	"1H4"	2660	10830	150	64229	62654	3223	5	2279	2279	3622	5231	144	100	100	28	9774012	11.285	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	61950	60375	61950	60375	156	872	100	1179
0	0	0	7	4	4	"MSRP5"	"1D6"	2890	10830	150	3875	4581	1917	41	1968	1968	2586	2744	106	32	7	0	714703	0.727	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1907	2613	1907	2613	156	872	100	1180
0	0	0	7	5	4	"P34"	"1F6"	3120	10830	150	4513	7656	11110	145	1769	1769	2715	4663	171	24	10	1	1194407	1.060	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2744	5887	2744	5887	156	872	100	1181
0	0	0	7	6	4	"MSP8"	"1B2"	3350	10830	150	65535	65166	2242	3	2236	2236	4475	9933	221	100	100	95	10165907	6.110	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63299	62930	63299	62930	156	872	100	1182
0	0	0	7	7	4	"P12"	"1H2"	3580	10830	150	23636	26165	9168	35	2321	2321	2846	3198	112	100	100	0	4081673	7.292	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	21315	23844	21315	23844	156	872	100	1183
0	0	0	7	8	4	"MSP6"	"1D4"	3810	10830	150	65535	57785	18652	32	1838	1838	4735	10186	215	92	89	78	9014411	5.208	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63697	55947	63697	55947	156	854	100	1184
0	0	0	7	1	5	"PFD1130W"	"1F2"	2200	11060	150	7336	8886	5654	63	2236	2236	2507	2244	89	97	63	0	1386268	2.843	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5100	6650	5100	6650	156	972	100	1185
0	0	0	7	2	5	"EBA 140"	"1B4"	2430	11060	150	4363	4628	900	19	2744	2744	3862	5262	136	0	0	0	722028	0.146	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1619	1884	1619	1884	156	872	100	1186
0	0	0	7	3	5	"MSRP2"	"1H4"	2660	11060	150	64710	62755	3736	5	2765	2765	5010	7973	159	100	100	34	9789753	7.243	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	61945	59990	61945	59990	156	872	100	1187
0	0	0	7	4	5	"MSRP5"	"1D6"	2890	11060	150	4170	5420	4378	80	2101	2101	2590	2499	96	38	15	0	845471	1.132	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2069	3319	2069	3319	156	872	100	1188
0	0	0	7	5	5	"P34"	"1F6"	3120	11060	150	5181	7901	9422	119	1809	1809	2041	1257	61	92	66	0	1232519	4.662	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3372	6092	3372	6092	156	872	100	1189
0	0	0	7	6	5	"MSP8"	"1B2"	3350	11060	150	65535	64907	3244	4	2111	2111	2988	4250	142	100	100	95	10125552	14.569	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63424	62796	63424	62796	156	872	100	1190
0	0	0	7	7	5	"P12"	"1H2"	3580	11060	150	33870	36286	14583	40	2172	2172	3647	7075	193	100	100	9	5660662	4.613	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	31698	34114	31698	34114	156	872	100	1191
0	0	0	7	8	5	"MSP6"	"1D4"	3810	11060	150	65535	61020	13970	22	1952	1952	5455	11299	207	96	93	79	9519109	4.918	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63583	59068	63583	59068	156	854	100	1192
0	0	0	7	1	6	"PFD1130W"	"1F2"	2200	11290	150	8329	10778	8879	82	2898	2898	3882	4105	105	76	23	0	1681412	1.680	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5431	7880	5431	7880	156	972	100	1193
0	0	0	7	2	6	"EBA 140"	"1B4"	2430	11290	150	7360	7760	1248	16	4428	4428	7366	7610	103	1	0	0	1210624	0.052	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2932	3332	2932	3332	156	872	100	1194
0	0	0	7	3	6	"MSRP2"	"1H4"	2660	11290	150	65535	63819	2632	4	3970	3970	6071	7690	126	100	100	51	9955702	7.509	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	61565	59849	61565	59849	156	872	100	1195
0	0	0	7	4	6	"MSRP5"	"1D6"	2890	11290	150	5774	7314	5175	70	2521	2521	3070	2406	78	72	28	0	1141010	1.764	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3253	4793	3253	4793	156	872	100	1196
0	0	0	7	5	6	"P34"	"1F6"	3120	11290	150	4920	7004	7693	109	1994	1994	2449	1694	69	80	44	1	1092692	2.689	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2926	5010	2926	5010	156	872	100	1197
0	0	0	7	6	6	"MSP8"	"1B2"	3350	11290	150	65535	64582	4424	6	1963	1963	2705	2578	95	100	100	92	10074753	24.002	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63572	62619	63572	62619	156	872	100	1198
0	0	0	7	7	6	"P12"	"1H2"	3580	11290	150	30178	32387	11089	34	2015	2015	5993	13416	223	100	53	1	5052440	1.967	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	28163	30372	28163	30372	156	872	100	1199
0	0	0	7	8	6	"MSP6"	"1D4"	3810	11290	150	65535	63096	9649	15	1907	1907	7157	14431	201	97	96	85	9842974	3.876	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63628	61189	63628	61189	156	854	100	1200
0	0	0	7	1	7	"PF1400044"	"1N1"	2200	11520	150	19934	21638	8805	40	3941	3941	5767	6792	117	96	64	0	3375583	2.337	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	15993	17697	15993	17697	156	972	100	1201
0	0	0	7	2	7	"MSP1"	"1J3"	2430	11520	150	65535	65535	0	0	7630	7630	11698	9608	82	100	100	100	10223460	5.603	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	57905	57905	57905	57905	156	872	100	1202
0	0	0	7	3	7	"RON6"	"1P3"	2660	11520	150	14989	15855	5984	37	5030	5030	7005	6751	96	80	22	0	2473391	1.311	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	9959	10825	9959	10825	156	872	100	1203
0	0	0	7	4	7	"MSP9"	"1L5"	2890	11520	150	34601	35719	10943	30	2901	2901	3479	3953	113	99	99	0	5572205	8.156	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	31700	32818	31700	32818	156	872	100	1204
0	0	0	7	5	7	"PTEX150"	"1N5"	3120	11520	150	65535	57842	17927	30	2297	2297	3572	6615	185	94	92	79	9023363	8.204	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63238	55545	63238	55545	156	872	100	1205
0	0	0	7	6	7	"SERA7"	"1J1"	3350	11520	150	20436	21667	9993	46	1832	1832	2565	3612	140	93	90	0	3380087	5.288	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	18604	19835	18604	19835	156	872	100	1206
0	0	0	7	7	7	"MSP2"	"1P1"	3580	11520	150	65535	59941	15489	25	1604	1604	3368	8222	244	96	94	84	9350815	6.881	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63931	58337	63931	58337	156	872	100	1207
0	0	0	7	8	7	"SERA3"	"1L3"	3810	11520	150	38050	38175	16101	42	1577	1577	5026	12306	244	90	81	6	5955299	2.694	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	36473	36598	36473	36598	156	854	100	1208
0	0	0	7	1	8	"PF1400044"	"1N1"	2200	11750	150	21349	22058	6806	30	4646	4646	6203	6844	110	97	65	0	3441095	2.317	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	16703	17412	16703	17412	156	972	100	1209
0	0	0	7	2	8	"MSP1"	"1J3"	2430	11750	150	65535	65535	0	0	8605	8605	13514	10752	79	100	100	100	10223460	4.838	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	56930	56930	56930	56930	156	872	100	1210
0	0	0	7	3	8	"RON6"	"1P3"	2660	11750	150	19178	19815	6230	31	5467	5467	7305	6736	92	94	53	0	3091123	1.857	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	13711	14348	13711	14348	156	872	100	1211
0	0	0	7	4	8	"MSP9"	"1L5"	2890	11750	150	32650	34115	9747	28	2929	2929	3095	1036	33	100	100	0	5321993	29.942	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	29721	31186	29721	31186	156	872	100	1212
0	0	0	7	5	8	"PTEX150"	"1N5"	3120	11750	150	65535	63666	7509	11	2226	2226	3409	6613	193	100	99	90	9931931	9.112	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63309	61440	63309	61440	156	872	100	1213
0	0	0	7	6	8	"SERA7"	"1J1"	3350	11750	150	25722	26190	8591	32	1745	1745	1862	697	37	100	100	0	4085638	34.904	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	23977	24445	23977	24445	156	872	100	1214
0	0	0	7	7	8	"MSP2"	"1P1"	3580	11750	150	65535	65366	1204	1	1544	1544	2173	3660	168	100	100	97	10197169	17.266	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63991	63822	63991	63822	156	872	100	1215
0	0	0	7	8	8	"SERA3"	"1L3"	3810	11750	150	39647	41047	13030	31	1498	1498	1789	1238	69	100	100	3	6403391	31.711	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	38149	39549	38149	39549	156	854	100	1216
0	0	0	7	1	9	"PF1400044"	"1N1"	2200	11980	150	21483	21602	6522	30	3802	3802	5626	6616	117	96	72	0	3369981	2.415	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	17681	17800	17681	17800	156	972	100	1217
0	0	0	7	2	9	"MSP1"	"1J3"	2430	11980	150	65535	65535	0	0	7301	7301	11799	11195	94	100	100	100	10223460	4.800	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	58234	58234	58234	58234	156	872	100	1218
0	0	0	7	3	9	"RON6"	"1P3"	2660	11980	150	18340	18462	4997	27	4237	4237	6511	6645	102	95	56	0	2880105	1.798	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	14103	14225	14103	14225	156	872	100	1219
0	0	0	7	4	9	"MSP9"	"1L5"	2890	11980	150	36061	37756	11086	29	2800	2800	3325	2739	82	100	100	2	5889961	12.571	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	33261	34956	33261	34956	156	872	100	1220
0	0	0	7	5	9	"PTEX150"	"1N5"	3120	11980	150	65535	61541	12968	21	2150	2150	2710	2607	96	100	99	87	9600439	22.567	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63385	59391	63385	59391	156	872	100	1221
0	0	0	7	6	9	"SERA7"	"1J1"	3350	11980	150	24600	25490	8789	34	1673	1673	1805	750	41	100	100	0	3976483	31.580	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	22927	23817	22927	23817	156	872	100	1222
0	0	0	7	7	9	"MSP2"	"1P1"	3580	11980	150	65535	64432	5394	8	1479	1479	1681	791	47	100	100	94	10051335	79.331	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	64056	62953	64056	62953	156	872	100	1223
0	0	0	7	8	9	"SERA3"	"1L3"	3810	11980	150	45536	44438	13937	31	1456	1456	1748	1096	62	100	100	6	6932307	38.951	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	44080	42982	44080	42982	156	854	100	1224
0	0	0	7	1	10	"P41"	"1N2"	2200	12210	150	31798	32288	15112	46	2733	2733	3261	2331	71	96	93	1	5036867	12.453	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	29065	29555	29065	29555	156	972	100	1225
0	0	0	7	2	10	"RON3"	"1J4"	2430	12210	150	16888	18015	6322	35	3541	3541	5934	8623	145	85	27	0	2810353	1.401	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	13347	14474	13347	14474	156	872	100	1226
0	0	0	7	3	10	"PF92"	"1P4"	2660	12210	150	25470	24462	9819	40	2894	2894	3593	2317	64	99	92	0	3816056	9.007	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	22576	21568	22576	21568	156	872	100	1227
0	0	0	7	4	10	"MSRP1"	"1L6"	2890	12210	150	65535	63945	3132	4	2469	2469	3449	4300	124	100	100	63	9975402	14.069	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63066	61476	63066	61476	156	872	100	1228
0	0	0	7	5	10	"EBA175"	"1N6"	3120	12210	150	43725	43891	17098	38	2009	2009	2852	4171	146	95	93	13	6846944	9.839	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	41716	41882	41716	41882	156	872	100	1229
0	0	0	7	6	10	"TLP"	"1J2"	3350	12210	150	21202	21303	11318	53	1598	1598	1699	459	27	98	95	0	3323314	42.710	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	19604	19705	19604	19705	156	872	100	1230
0	0	0	7	7	10	"PF3D7_0606800"	"1P2"	3580	12210	150	6879	9788	9736	99	1348	1348	1519	796	52	91	87	0	1526906	10.388	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5531	8440	5531	8440	156	872	100	1231
0	0	0	7	8	10	"PFA0135W"	"1L4"	3810	12210	150	4592	5690	4120	72	1245	1245	1484	1082	72	87	78	0	887687	3.887	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3347	4445	3347	4445	156	854	100	1232
0	0	0	7	1	11	"P41"	"1N2"	2200	12440	150	33220	35752	12982	36	2156	2156	2384	1599	67	100	100	1	5577364	20.868	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	31064	33596	31064	33596	156	972	100	1233
0	0	0	7	2	11	"RON3"	"1J4"	2430	12440	150	14684	15138	4830	31	2288	2288	2470	1687	68	99	97	0	2361501	7.509	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	12396	12850	12396	12850	156	872	100	1234
0	0	0	7	3	11	"PF92"	"1P4"	2660	12440	150	25766	26229	12520	47	2178	2178	2475	1877	75	99	94	1	4091776	12.655	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	23588	24051	23588	24051	156	872	100	1235
0	0	0	7	4	11	"MSRP1"	"1L6"	2890	12440	150	65535	63180	3675	5	2078	2078	2961	4079	137	100	100	53	9856157	14.763	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63457	61102	63457	61102	156	872	100	1236
0	0	0	7	5	11	"EBA175"	"1N6"	3120	12440	150	47379	44455	17104	38	1807	1807	2416	3846	159	99	93	8	6934918	10.931	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	45572	42648	45572	42648	156	872	100	1237
0	0	0	7	6	11	"TLP"	"1J2"	3350	12440	150	26669	29971	16085	53	1545	1545	1610	391	24	100	100	8	4675542	72.535	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	25124	28426	25124	28426	156	872	100	1238
0	0	0	7	7	11	"PF3D7_0606800"	"1P2"	3580	12440	150	8753	9798	6882	70	1275	1275	1351	624	46	97	93	0	1528511	13.537	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	7478	8523	7478	8523	156	872	100	1239
0	0	0	7	8	11	"PFA0135W"	"1L4"	3810	12440	150	5188	6483	5080	78	1135	1135	1243	793	63	88	83	0	1011347	6.608	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4053	5348	4053	5348	156	854	100	1240
0	0	0	7	1	12	"P41"	"1N2"	2200	12670	150	36045	35310	14632	41	1838	1838	1919	607	31	100	100	1	5508286	55.010	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	34207	33472	34207	33472	156	972	100	1241
0	0	0	7	2	12	"RON3"	"1J4"	2430	12670	150	17548	21374	12684	59	1885	1885	1932	401	20	100	100	1	3334408	48.484	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	15663	19489	15663	19489	156	872	100	1242
0	0	0	7	3	12	"PF92"	"1P4"	2660	12670	150	23153	24694	12419	50	1867	1867	2146	1581	73	98	94	1	3852200	14.262	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	21286	22827	21286	22827	156	872	100	1243
0	0	0	7	4	12	"MSRP1"	"1L6"	2890	12670	150	65535	63449	4652	7	1876	1876	2355	2212	93	100	100	64	9897980	27.619	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	63659	61573	63659	61573	156	872	100	1244
0	0	0	7	5	12	"EBA175"	"1N6"	3120	12670	150	47634	44721	18612	41	1758	1758	1879	487	25	100	99	12	6976541	87.971	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	45876	42963	45876	42963	156	872	100	1245
0	0	0	7	6	12	"TLP"	"1J2"	3350	12670	150	24195	25664	12778	49	1612	1612	1660	349	21	100	100	1	4003572	68.779	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	22583	24052	22583	24052	156	872	100	1246
0	0	0	7	7	12	"PF3D7_0606800"	"1P2"	3580	12670	150	9784	12233	9755	79	1405	1405	1557	1120	71	94	90	0	1908319	9.532	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8379	10828	8379	10828	156	872	100	1247
0	0	0	7	8	12	"PFA0135W"	"1L4"	3810	12670	150	5055	5503	3461	62	1280	1280	1436	1138	79	83	76	0	858494	3.574	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3775	4223	3775	4223	156	854	100	1248
0	0	0	7	1	13	"PF3D7_0525800 (IMC1g)"	"1F7"	2200	12900	150	21344	20376	8993	44	1500	1500	1622	549	33	100	99	0	3178683	34.160	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	19844	18876	19844	18876	156	972	100	1249
0	0	0	7	2	13	"PF3D7_1460600 (ISP3)"	"1B9"	2430	12900	150	15555	15633	7856	50	1531	1531	1600	448	28	100	99	0	2438682	31.324	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	14024	14102	14024	14102	156	872	100	1250
0	0	0	7	3	13	"PF3D7_1455300"	"1H9"	2660	12900	150	9652	9704	5042	51	1493	1493	1543	295	19	97	92	0	1513895	27.664	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8159	8211	8159	8211	156	872	100	1251
